Player Name,Session Date,Drill Name,Session Time(mins),Total Distance,Metres Per Minute,Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,HSR per min,Average Speed,Maximum Speed,Number of Sprints,Number of Accelerations,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Accelerations Zone 4,Accelerations Zone 5,Accelerations Zone 6,Number of Decelerations,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,Decelerations Zone 4,Decelerations Zone 5,Decelerations Zone 6,HML Distance,HML Distance Per Minute,Average Step Impact Left (g),Average Step Impact Right (g),Step Balance,HML Efforts,Explosive Distance
Valverde,2022-09-14,SSG 8v8,18.34,1645.0,89.7,631.0,418.0,250.0,198.0,123.0,24.0,8.04,1.49,7.83,12,23,37,40,21,14,7,2,20,41,37,25,13,4,3,362.0,19.71,384.0,3.0,1.3,38.0,214
Vasquez,2022-09-14,SSG 8v8,18.34,1479.0,80.61,622.0,440.0,187.0,147.0,67.0,16.0,4.54,1.34,7.84,6,15,55,53,25,11,4,0,16,45,53,26,7,7,2,270.0,14.72,342.0,3.0,1.06,29.0,187
Carvajal,2022-09-14,SSG 8v8,18.34,1651.0,90.03,650.0,511.0,230.0,140.0,104.0,16.0,6.52,1.5,7.45,6,8,45,43,17,5,3,0,5,33,50,16,5,0,0,259.0,14.12,515.0,0.0,0.95,27.0,139
Militao,2022-09-14,SSG 8v8,18.34,1516.0,82.64,648.0,477.0,223.0,152.0,15.0,0.0,0.81,1.38,6.13,2,20,47,41,28,17,3,0,17,43,43,22,11,5,1,224.0,12.23,352.0,1.0,0.96,29.0,209
Alaba,2022-09-14,SSG 8v8,18.34,1680.0,91.59,645.0,633.0,185.0,129.0,69.0,19.0,4.8,1.53,8.09,5,11,57,61,20,8,3,0,12,38,60,26,6,4,2,222.0,12.1,536.0,5.0,0.83,24.0,134
Nacho,2022-09-14,SSG 8v8,18.34,1504.0,82.01,683.0,403.0,198.0,130.0,80.0,11.0,4.94,1.37,8.39,9,15,38,33,21,9,6,0,9,37,48,26,7,0,2,243.0,13.26,284.0,2.0,0.9,26.0,152
Hazard,2022-09-14,SSG 8v8,18.34,1582.0,86.26,692.0,443.0,172.0,154.0,87.0,34.0,6.59,1.44,8.72,7,17,55,44,15,11,6,0,17,31,40,24,8,4,5,284.0,15.5,366.0,3.0,1.02,31.0,163
Benzema,2022-09-14,SSG 8v8,18.34,1878.0,102.41,660.0,542.0,293.0,245.0,111.0,27.0,7.53,1.71,8.0,9,17,41,43,20,14,2,1,18,22,41,25,9,6,3,379.0,20.68,614.0,5.0,1.38,38.0,241
Modric,2022-09-07,SSG 9v9,11.97,1288.0,107.57,271.0,573.0,281.0,136.0,28.0,0.0,2.3,1.79,6.79,2,12,25,42,19,7,5,0,13,22,39,23,10,2,1,205.0,17.16,525.0,0.0,0.84,29.0,178
Asensio,2022-09-07,SSG 9v9,11.97,1034.0,86.39,341.0,449.0,179.0,54.0,12.0,0.0,0.97,1.44,6.73,1,2,30,48,16,2,0,0,5,43,44,14,4,1,0,115.0,9.62,272.0,0.0,0.51,17.0,104
Camavinga,2022-09-07,SSG 9v9,11.97,1292.0,107.94,320.0,464.0,261.0,199.0,44.0,4.0,4.0,1.8,7.28,4,6,31,41,21,3,3,0,10,22,40,23,7,3,0,256.0,21.39,571.0,0.0,1.0,31.0,208
Marcelo,2022-09-07,SSG 9v9,11.97,1224.0,102.27,296.0,494.0,275.0,136.0,24.0,0.0,2.02,1.7,6.41,2,13,28,36,13,9,4,0,14,21,42,12,8,4,2,207.0,17.26,326.0,1.0,0.86,35.0,183
Vasquez,2022-09-07,SSG 9v9,11.97,1230.0,102.73,339.0,421.0,247.0,157.0,60.0,5.0,5.47,1.71,7.41,6,11,31,39,25,9,2,0,8,27,40,27,5,1,2,248.0,20.68,486.0,2.0,0.97,32.0,182
Carvajal,2022-09-07,SSG 9v9,11.97,1094.0,91.4,343.0,499.0,200.0,53.0,0.0,0.0,0.0,1.52,5.33,0,1,37,37,18,1,0,0,1,23,41,18,1,0,0,104.0,8.71,561.0,0.0,0.48,15.0,104
Militao,2022-09-07,SSG 9v9,11.97,1096.0,91.55,377.0,383.0,202.0,115.0,19.0,0.0,1.58,1.53,6.19,2,15,33,44,16,11,4,0,12,31,37,26,9,1,2,179.0,14.93,338.0,1.0,0.76,28.0,160
Alaba,2022-09-07,SSG 9v9,11.97,976.0,81.49,369.0,447.0,108.0,51.0,0.0,0.0,0.0,1.36,5.47,0,7,43,46,13,6,1,0,6,37,46,14,5,1,0,95.0,7.9,426.0,0.0,0.43,14.0,95
Vallejo,2022-09-07,SSG 9v9,11.97,1246.0,104.06,325.0,431.0,220.0,206.0,63.0,0.0,5.29,1.73,6.85,7,18,27,29,23,16,2,0,17,27,25,21,14,3,0,281.0,23.49,602.0,1.0,1.06,31.0,218
Nacho,2022-09-07,SSG 9v9,11.97,1075.0,89.81,421.0,327.0,152.0,93.0,72.0,10.0,6.85,1.5,7.7,6,8,28,22,12,4,3,1,6,29,21,10,3,3,0,182.0,15.21,308.0,2.0,0.66,17.0,100
Hazard,2022-09-07,SSG 9v9,11.97,1086.0,90.67,374.0,439.0,197.0,64.0,9.0,2.0,0.97,1.51,7.74,1,8,27,42,18,6,2,0,4,23,40,23,0,3,1,131.0,10.97,373.0,1.0,0.58,23.0,120
Kroos,2022-09-07,SSG 9v9,11.97,1230.0,102.7,371.0,404.0,196.0,185.0,72.0,2.0,6.23,1.71,7.53,9,23,32,25,15,16,7,0,7,31,41,25,6,1,0,258.0,21.52,416.0,4.0,0.98,27.0,183
Benzema,2022-09-07,SSG 9v9,11.97,1182.0,98.7,398.0,357.0,185.0,190.0,51.0,1.0,4.33,1.64,7.07,5,15,27,31,19,12,3,0,14,22,37,19,8,4,2,270.0,22.55,452.0,5.0,1.03,32.0,218
Asensio,2022-09-09,SSG 9v9,21.09,1772.0,84.01,655.0,791.0,254.0,66.0,6.0,0.0,0.28,1.4,6.26,1,8,67,86,36,7,1,0,25,52,85,22,18,7,0,170.0,8.04,514.0,0.0,0.8,22.0,164
Camavinga,2022-09-09,SSG 9v9,21.09,2150.0,101.94,640.0,740.0,446.0,263.0,55.0,6.0,2.87,1.7,7.41,5,14,47,68,27,11,3,0,14,39,69,26,11,3,0,344.0,16.31,784.0,0.0,1.35,42.0,283
Militao,2022-09-09,SSG 9v9,21.09,1961.0,92.99,688.0,575.0,285.0,302.0,92.0,20.0,5.28,1.55,7.66,9,25,50,54,23,18,5,2,23,30,50,26,15,4,4,413.0,19.56,717.0,5.0,1.54,49.0,301
Alaba,2022-09-09,SSG 9v9,21.09,1843.0,87.41,622.0,858.0,211.0,125.0,24.0,4.0,1.33,1.46,7.35,2,13,55,83,22,9,3,1,14,57,66,28,4,6,4,191.0,9.06,589.0,4.0,0.8,25.0,163
Nacho,2022-09-09,SSG 9v9,21.09,1742.0,82.62,862.0,388.0,207.0,223.0,43.0,19.0,2.94,1.38,7.89,4,18,51,26,16,14,3,1,10,39,45,18,7,2,1,269.0,12.75,341.0,0.0,1.02,33.0,207
Hazard,2022-09-09,SSG 9v9,21.09,1939.0,91.95,600.0,864.0,350.0,124.0,1.0,0.0,0.03,1.53,5.71,0,17,52,69,26,13,4,0,12,56,76,26,8,4,0,211.0,10.01,569.0,1.0,0.96,28.0,211
Kroos,2022-09-09,SSG 9v9,21.09,1672.0,79.28,650.0,613.0,235.0,140.0,33.0,1.0,1.61,1.32,7.38,4,30,54,64,29,19,9,2,19,45,83,24,12,6,1,267.0,12.68,440.0,2.0,1.14,37.0,233
Benzema,2022-09-09,SSG 9v9,21.09,1992.0,94.48,692.0,624.0,348.0,233.0,95.0,0.0,4.49,1.57,6.67,13,20,52,53,36,18,2,0,21,44,72,27,13,6,2,390.0,18.49,760.0,4.0,1.53,46.0,295
Valverde,2022-09-10,SSG 9v9,34.36,2409.0,70.09,1098.0,600.0,303.0,261.0,127.0,20.0,4.28,1.17,7.4,11,21,72,74,29,15,6,0,21,59,55,34,13,3,5,418.0,12.15,525.0,3.0,1.53,44.0,271
Vinicius Jr,2022-09-10,SSG 9v9,34.36,2404.0,69.96,920.0,813.0,436.0,224.0,8.0,3.0,0.33,1.17,7.51,1,12,58,87,32,12,0,0,14,60,79,22,9,3,2,273.0,7.94,516.0,1.0,1.2,37.0,262
Modric,2022-09-07,Warm Up,15.56,751.0,48.28,288.0,253.0,88.0,86.0,37.0,0.0,2.35,0.8,6.8,5,9,23,16,5,5,4,0,5,29,27,9,4,1,0,117.0,7.52,275.0,3.0,0.42,13.0,80
Asensio,2022-09-07,Warm Up,15.56,854.0,54.92,299.0,285.0,107.0,112.0,51.0,0.0,3.27,0.92,6.91,5,7,39,36,12,3,4,0,9,36,44,10,3,2,4,163.0,10.48,299.0,3.0,0.58,16.0,112
Camavinga,2022-09-07,Warm Up,15.56,795.0,51.14,246.0,285.0,142.0,91.0,26.0,6.0,2.02,0.85,7.36,3,6,18,16,5,3,3,0,6,20,16,6,3,1,2,118.0,7.6,375.0,3.0,0.43,12.0,87
Marcelo,2022-09-07,Warm Up,15.56,754.0,48.49,347.0,242.0,59.0,75.0,32.0,0.0,2.03,0.81,6.46,4,10,32,17,5,5,5,0,6,34,25,9,3,2,1,116.0,7.47,236.0,3.0,0.44,17.0,85
Vasquez,2022-09-07,Warm Up,15.56,767.0,49.33,305.0,227.0,72.0,106.0,52.0,6.0,3.7,0.82,7.73,6,13,32,24,11,10,3,0,12,37,27,6,2,5,5,164.0,10.57,536.0,3.0,0.59,17.0,107
Carvajal,2022-09-07,Warm Up,15.56,682.0,43.83,256.0,255.0,66.0,70.0,35.0,0.0,2.23,0.73,6.9,4,3,12,14,3,1,2,0,5,17,16,4,3,1,1,107.0,6.87,288.0,1.0,0.38,11.0,72
